Office,Address,State,Country,Company,Latitude,Longitude
Johannesburg,3012 William Nicol Drive Bryanston ,,South Africa,Microsoft,-26.04434756,28.01866562
Seoul,"12th FL. Tower A, The-K Twin Towers, 50, Jongno 1 gil, Jongno-Gu",,Korea ,Microsoft,37.57485906,126.9791488
Pozuelo de AlarcÃ³n,"Paseo club deportivo, Parque Empresarial La Finca, 1, Edificio 1",,Spain,Microsoft,40.41966634,-3.801252631
Colombo,"22nd Floor, Access Tower 02,  No. 278/4, Union Place",,Sri Lanka,Microsoft,6.92021985,79.8574745
Stockholm,Regeringsgatan 25,,Sweden,Microsoft,59.33171589,18.06784929
Wallisellen,Richtistrasse 3,,Switzerland,Microsoft,47.4091358,8.590969956
Taipei,"18th Floor, No. 68, Section 5, Zhongxiao East Road, Xinyi District",,"Taiwan, Province of China",Microsoft,25.04045737,121.5669002
Bangkok,"37th floor, unit 1-7, CRC Tower, All Seasons Place, 87/2 Wireless Road, Lumpini, Pathumwan District",,Thailand,Microsoft,13.73941665,100.5478614
Port of Spain,61 Mucurapo Rd,,Trinidad and Tobago,Microsoft,10.67218556,-61.5393657
Tunis,"Rue du Lac Huron, Tunis 1053, Tunisia",,Tunisia,Microsoft,36.83563582,10.24848956
Istanbul,"32C9+85 Be?ikta?, ?stanbul, Turkey",,Turkey,Microsoft,41.07101346,29.01784717
Kyiv,"Eurasia, Zhylianska St, 75",,Ukraine,Microsoft,50.43915031,30.49879968
Dubai,Dubai Internet City Building No 8 Sheikh Zayed Road ,,United Arab Emirates,Microsoft,25.09500517,55.16210009
Belfast,"11 Queens Rd, Belfast BT3 9AD, United Kingdom",,United Kingdom,Microsoft,54.61282277,-5.902655384
Wokingham,Thames Valley Park Reading Berkshire ,,United Kingdom,Microsoft,51.46128979,-0.927148039
Montevideo,Mercosur Business Center Cebollati 1474 - Piso 5,,Uruguay,Microsoft,-34.91353221,-56.18247126
Caracas,"Av. Principal de La Castellana Centro Letonia Torre ING Bank, Piso 8 ",,Venezuela,Microsoft,10.49716388,-66.85135569
Hanoi,"16th Floor, Capital Tower Building, 109 Tran Hung Dao",,Viet Nam,Microsoft,21.02376124,105.8419174
